p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.571192928775945	0.977	0.078	0	0	CSTA
0	7.544993182618732	0.925	0.03	0	0	S100A12
0	6.027660412781464	0.934	0.039	0	0	CD14
0	3.2604857526986297	0.976	0.09	0	0	SERPINA1
0	3.78556409224076	0.988	0.106	0	0	CD68
0	3.803251125126609	0.995	0.126	0	0	VCAN
0	3.423984696614583	0.958	0.093	0	0	CFD
0	2.99743576586246	0.991	0.127	0	0	CSF3R
0	4.693400435699271	0.999	0.135	0	0	FCN1
0	3.668303677595644	0.98	0.123	0	0	MAFB
0	6.4150921361516335	0.985	0.129	0	0	S100A8
0	3.653048498171514	0.975	0.12	0	0	C5AR1
0	3.8428285411931298	0.939	0.088	0	0	CPVL
0	2.5217605858285728	0.998	0.15	0	0	SLC11A1
0	3.0794327553751453	0.982	0.136	0	0	CLEC7A
0	3.2994674280236964	0.988	0.149	0	0	NCF2
0	5.329832241640274	1	0.171	0	0	LYZ
0	2.7331852524181093	0.963	0.134	0	0	TNFAIP2
0	3.136548321525717	1	0.171	0	0	CST3
0	4.449767312106192	0.887	0.059	0	0	FPR1
0	2.416287803700342	0.993	0.165	0	0	LST1
0	2.657092100270273	0.941	0.115	0	0	ANPEP
0	4.010971637374423	0.937	0.113	0	0	CD302
0	2.481435652757952	0.992	0.17	0	0	PLXDC2
0	1.8869418894027656	0.967	0.147	0	0	CSF2RA
0	2.0169169586396056	0.993	0.175	0	0	RBM47
0	2.8807135671059543	0.983	0.167	0	0	DOCK4
0	2.98836721237875	0.956	0.141	0	0	PID1
0	3.4356725668879653	0.908	0.094	0	0	TGFBI
0	3.4280783880578056	0.936	0.123	0	0	MPEG1
0	2.837877577420604	0.926	0.114	0	0	SIRPA
0	3.1217937976763004	0.947	0.136	0	0	TLR2
0	4.257293731135815	0.925	0.117	0	0	G0S2
0	2.080997538103417	0.981	0.173	0	0	CD86
0	2.937354518840695	0.997	0.189	0	0	SPI1
0	3.4315850526505085	0.912	0.104	0	0	CFP
0	3.022128569252563	0.991	0.184	0	0	FCER1G
0	1.9907069649200988	0.985	0.18	0	0	CHST15
0	3.270945847824681	0.89	0.087	0	0	CDA
0	2.5014854930589867	0.972	0.169	0	0	EEPD1
0	2.0706162619169377	0.978	0.175	0	0	SULF2
0	3.691753693536244	0.944	0.143	0	0	GRN
0	4.4357580571925705	0.864	0.069	0	0	PLBD1
0	6.432835127975048	0.996	0.204	0	0	S100A9
0	2.3251424459320313	0.997	0.206	0	0	RAB31
0	3.0702007908764473	0.997	0.206	0	0	PLAUR
0	1.9900780465148675	0.992	0.201	0	0	EMILIN2
0	1.882457815443552	0.995	0.205	0	0	ITGAX
0	3.1248435706362874	0.967	0.177	0	0	CYBB
0	2.45276285391365	0.96	0.17	0	0	DMXL2
0	3.0389147827843397	0.998	0.21	0	0	AIF1
0	3.4897053555965103	1	0.212	0	0	IFI30
0	3.587423171615456	0.868	0.082	0	0	C19orf38
0	3.8068148398259343	0.997	0.213	0	0	CEBPD
0	2.812965695850517	0.902	0.119	0	0	TMEM170B
0	3.980467479377487	0.866	0.084	0	0	MNDA
0	2.389837708923209	0.99	0.208	0	0	KYNU
0	5.416366617351386	0.811	0.031	0	0	ENSG00000257764
0	2.1060183757902564	0.926	0.149	0	0	IRAK3
0	2.7346670348171047	0.911	0.134	0	0	MPP1
0	3.030188423299479	0.881	0.105	0	0	CD300E
0	2.12606921439338	0.912	0.137	0	0	LRMDA
0	4.466305229049073	0.836	0.061	0	0	CD36
0	2.207423352230931	0.964	0.189	0	0	TIMP2
0	2.121766218145257	0.922	0.149	0	0	HCK
0	2.2836947110183843	0.923	0.151	0	0	FGD4
0	2.4816131610058343	0.885	0.113	0	0	LILRB2
0	2.4838208298514894	0.85	0.078	0	0	FCAR
0	5.250247362251017	0.801	0.031	0	0	MS4A6A
0	3.42008894070195	0.92	0.15	0	0	FCGRT
0	2.4997795339984794	0.941	0.172	0	0	MAP3K20
0	3.519079237651499	0.984	0.219	0	0	LGALS3
0	3.319056154894206	0.938	0.175	0	0	IER3
0	2.2113866109318363	0.975	0.214	0	0	TBXAS1
0	2.165417266738356	0.94	0.181	0	0	PILRA
0	2.7159399219382454	0.952	0.193	0	0	TYMP
0	1.960821154647329	0.966	0.209	0	0	FGR
0	2.361263337660853	0.896	0.14	0	0	SLC22A15
0	3.444195062371567	1	0.244	0	0	TYROBP
0	2.361975446549628	0.919	0.164	0	0	KIF13A
0	2.939280949074246	0.857	0.102	0	0	LRP1
0	3.185929688240771	0.84	0.086	0	0	TREM1
0	2.2991604915710053	0.852	0.1	0	0	FAM20C
0	2.353792494036315	0.94	0.192	0	0	PHACTR1
0	2.9001290627197776	0.831	0.084	0	0	PPARG
0	3.0216312574264386	0.826	0.079	0	0	AQP9
0	2.4645721253666864	0.97	0.227	0	0	PLSCR1
0	3.1021625701993045	0.843	0.1	0	0	JDP2
0	3.4073324280079724	0.827	0.085	0	0	SHTN1
0	3.4215331007164957	0.843	0.102	0	0	HBEGF
0	3.1445790929847983	0.87	0.13	0	0	PYCARD
0	2.9089272358034988	0.939	0.2	0	0	CARD19
0	3.3413899346070925	0.839	0.101	0	0	CAPG
0	2.384473446349128	0.893	0.155	0	0	EPB41L3
0	2.8106788735602035	0.883	0.148	0	0	CTSH
0	2.9312426352126977	0.831	0.097	0	0	LUCAT1
0	3.202457890572002	0.891	0.157	0	0	PPIF
